file	concept	surface	presentation	appearance	accessibility	engine	fixture	window_size	activity	expected_points	pixel_width	pixel_height	launch_arguments
native-workbench__sql-results__light__system__postgresql__populated__typical__active__query-history.png	native-workbench	sql-results	query-history	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation query-history
native-workbench__change-review__light__system__postgresql__pending-change__typical__active.png	native-workbench	change-review	standard	light	system	postgresql	pending-change	typical	active	1440x900	2880	1800	--concept native-workbench --surface change-review --appearance light --accessibility system --engine postgresql --fixture pending-change --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__active__safe-review.png	native-workbench	data-grid	safe-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation safe-review
native-workbench__data-grid__light__system__postgresql__destructive-review__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	destructive-review	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture destructive-review --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__empty__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	empty	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture empty --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__loading__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	loading	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture loading --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__connection-error__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	connection-error	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture connection-error --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__selected-cell__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	selected-cell	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture selected-cell --window-size typical --capture
native-workbench__data-grid__light__reduce-transparency__postgresql__populated__typical__active.png	native-workbench	data-grid	standard	light	reduce-transparency	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility reduce-transparency --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__increase-contrast__postgresql__populated__typical__active.png	native-workbench	data-grid	standard	light	increase-contrast	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility increase-contrast --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__reduce-motion__postgresql__populated__typical__active.png	native-workbench	data-grid	standard	light	reduce-motion	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility reduce-motion --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__minimum__active.png	native-workbench	data-grid	standard	light	system	postgresql	populated	minimum	active	1280x760	2560	1520	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size minimum --capture
native-workbench__data-grid__light__system__postgresql__populated__expanded__active.png	native-workbench	data-grid	standard	light	system	postgresql	populated	expanded	active	1720x1040	3440	2080	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size expanded --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__inactive.png	native-workbench	data-grid	standard	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
native-workbench__data-grid__light__system__clickhouse__populated__typical__active.png	native-workbench	data-grid	standard	light	system	clickhouse	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine clickhouse --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__redis__populated__typical__active.png	native-workbench	data-grid	standard	light	system	redis	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine redis --fixture populated --window-size typical --capture
